"inputB.json";"10D08E";832;0.60
"inputB.json";"206849";405;6.80
"inputB.json";"27AF04";375;8.10
"inputB.json";"93607C";136;6.10
"inputB.json";"7C9206";957;5.30
"inputB.json";"8CCD70";145;2.50
"inputB.json";"A1E7EB";975;3.40
"inputB.json";"44403B";670;2.30
"inputB.json";"435357";947;6.60
"inputB.json";"10AFED";430;5.20
"inputB.json";"591359";816;8.00
"inputB.json";"338573";658;0.40
"inputB.json";"A49A3D";961;1.50
"inputB.json";"80F150";13;1.40
"inputB.json";"51483D";969;6.80
"inputB.json";"5D8AF0";510;3.30
"inputB.json";"3BC660";197;3.10
"inputB.json";"1079C5";676;8.40
"inputB.json";"160DDD";870;1.00
"inputB.json";"64C3F3";308;0.50
"inputB.json";"5A7C41";335;6.40
"inputB.json";"82C4B6";284;8.30
"inputB.json";"49E7D2";978;9.60
"inputB.json";"72BE89";520;0.60
"inputB.json";"34F293";217;5.20
"inputB.json";"75A5AD";622;8.60
"inputB.json";"9F61BD";759;5.50
"inputB.json";"94CDBA";75;6.40
"inputB.json";"A356DF";868;8.70
"inputB.json";"1B355D";825;5.50
"inputB.json";"44C50D";36;6.40
"inputB.json";"86868B";527;7.40
"inputB.json";"6A8FEB";425;0.60
"inputB.json";"843499";271;7.40
"inputB.json";"564AFA";944;6.30
"inputB.json";"693E64";631;6.10
"inputB.json";"6BC032";637;8.00
"inputB.json";"7CCC2B";636;0.40
"inputB.json";"3C179D";331;4.10
"inputB.json";"8DDA06";997;4.70
"inputB.json";"54F929";273;5.00
"inputB.json";"A6CCFD";559;9.30
"inputB.json";"2C018B";805;3.80
"inputB.json";"1489A5";490;1.10
"inputB.json";"A57A96";170;0.30
"inputB.json";"6C1C19";714;2.00
"inputB.json";"183EF5";493;1.40
"inputB.json";"1C6240";75;5.10
"inputB.json";"1F0CF5";769;6.90
"inputB.json";"933769";909;2.40
"inputB.json";"6EDF3C";419;1.20
"inputB.json";"6B4A41";507;0.30
"inputB.json";"31C965";309;8.90
"inputB.json";"55A3A9";248;6.50
"inputB.json";"1387C9";447;9.00
"inputB.json";"91A3B6";514;8.70
"inputB.json";"66C182";458;2.50
"inputB.json";"2769C1";440;9.40
"inputB.json";"47B4D3";806;8.10
"inputB.json";"A74E25";739;7.50
"inputB.json";"6E2FBA";513;5.40
"inputB.json";"3333C6";593;3.60
"inputB.json";"7C4AC1";108;7.80
"inputB.json";"8C5885";901;3.40
"inputB.json";"8ED7FE";895;6.10
"inputB.json";"A18550";910;2.70
"inputB.json";"4BE84D";59;8.40
"inputB.json";"A50D39";616;8.00
"inputB.json";"4440E3";593;8.50
"inputB.json";"17B912";571;1.10
"inputB.json";"3E1A61";519;6.70
"inputB.json";"4A300C";426;5.10
"inputB.json";"4F1EE2";141;0.20
"inputB.json";"52F116";952;8.80
"inputB.json";"A2A912";920;5.00
"inputB.json";"2834BB";388;3.60
"inputB.json";"5EF7AC";517;1.10
"inputB.json";"9480EF";179;5.80
"inputB.json";"622596";46;9.70
"inputB.json";"71BE67";205;8.60
"inputB.json";"11D0AE";728;2.20
"inputB.json";"3C8EC7";929;7.20
"inputB.json";"6AFAC3";118;6.60
"inputB.json";"62A91B";692;9.10
"inputB.json";"4AC80C";407;5.60
"inputB.json";"210427";213;6.50
"inputB.json";"7B87B7";195;9.00
"inputB.json";"1FE325";242;2.70
"inputB.json";"5F1AF6";615;4.30
"inputB.json";"5E47A4";513;4.10
"inputB.json";"6E1AAC";366;5.40
"inputB.json";"37430E";498;3.60
"inputB.json";"7947BE";611;2.80
"inputB.json";"5FA097";745;3.10
"inputB.json";"95A437";244;9.00
"inputB.json";"9E0D38";774;8.50
"inputB.json";"60FF64";788;0.50
