"37015F",335,3.50
"A61301",369,9.92
"6E00A8",968,5.95
"761EB2",827,7.52
"4E898A",870,7.49
"197908",608,5.87
"676645",296,0.54
"79A6C3",739,6.37
"443D48",956,2.72
"8DE2A6",458,5.84
"2D8938",839,4.91
"431EA6",280,7.09
"3F80B9",85,9.43
"3FE227",93,4.74
"6936F1",951,1.42
"8B165B",591,7.04
"280ED3",293,8.16
"1250D1",226,7.00
"9F6067",316,2.08
"32EDEB",749,3.67
"8D4604",88,3.79
"358A35",641,2.18
"5DD258",504,6.25
"49FFCE",218,6.97
"23882D",462,2.19
"40F8C1",438,8.88
"75C846",588,3.30
"20FD7B",286,5.11
"909861",714,10.08
"5C23D9",204,6.88
"6A62E6",589,7.45
"4CA307",744,1.97
"228EC7",936,8.12
"247024",473,7.13
"29E54A",682,4.86
"2A75EE",112,5.56
"6CE573",233,3.41
"6E34A0",191,9.81
"6307B7",470,6.11
"209B02",924,8.17
"853002",727,1.95
"5ED38B",272,2.52
"66544C",558,5.37
"56884E",987,4.67
"366100",662,5.96
"19B80B",640,8.84
"A452CD",652,2.56
"4EAF5A",856,4.72
"74FA95",868,8.67
"4DCB47",262,3.43
"A2E586",177,7.96
"857DD1",465,3.57
"992D6A",674,7.07
"5D6789",846,7.66
"7E4C50",725,1.38
"4198CE",329,2.64
"A77AF1",607,9.36
"310C4C",125,7.39
"4910F1",950,3.81
"9CE9F4",538,1.38
"5FAB0B",187,5.17
"774426",187,0.15
"92B54E",645,7.29
"20BC0D",347,6.68
"3284AB",289,8.24
"6086C0",356,9.39
"88929F",165,1.81
"304366",428,3.54
"587AEB",672,0.29
"923D43",985,8.91
"270D2F",822,9.08
"5CFEE6",395,7.31
"4B821C",865,7.68
"91A5B7",211,7.69
"12DC65",360,7.74
"736CE3",245,3.39
"F7300",100,6.19
"5FE904",326,6.46
"6C5FB0",703,5.46
"5D3BF7",472,2.60
"2D32F9",536,4.57
"920A0C",66,4.86
"6D5760",523,5.76
"1D2E79",407,0.73
"957D9B",4,5.17
"9B5A76",394,2.79
"1B0070",346,6.29
"7139E0",437,5.79
"45F0CF",451,9.97
"9B6F9C",193,3.47
"7B571A",702,8.50
"A3D0D7",354,2.60
"646506",807,4.31
"20AD2B",187,0.95
"97D133",5,1.51
"3DE5CB",411,9.54
"7EF109",341,6.22
"9D9A60",582,7.78
"18260D",947,5.72
"6B3105",373,6.50
"63C22A",400,8.98
"89A254",369,8.64
"209420",346,2.44
"3C76A6",134,9.23
"702F1A",982,6.80
"590A58",560,9.05
"280CDF",894,2.47
"39195C",744,2.80
"5E9940",532,4.37
"992292",346,6.45
"61B4F4",253,2.43
"867B1D",198,7.16
"27E342",976,5.37
"5DF943",187,7.24
"26D97B",894,5.02
"93C47A",3,0.41
"49EB52",114,8.01
"37B7F1",636,5.94
"2B00AB",663,2.54
"5573DC",425,1.64
"5C4CD8",442,8.90
"184B33",50,8.13
"4EB0CF",377,5.81
"4C0ADF",10,8.24
"8B74A4",527,4.40
"6D03E3",289,3.40
"5B801C",272,6.56
"3AD878",248,6.59
"69F9EE",938,0.42
"6E1425",835,2.80
"408E50",422,3.87
"2DBEF7",830,1.54
"4AE812",301,4.38
"8C6825",76,9.32
"2E489A",568,3.51
"961674",504,0.52
"1EEAFC",199,4.05
"5FB5C8",830,8.97
"806483",628,6.25
"783ABB",424,7.95
"1D3F46",961,3.26
"5B89D7",959,8.09
"18DD4A",844,8.47
"110E59",888,2.22
"98B2F7",789,1.60
"9452FB",161,2.36
"6EC939",259,1.32
"4DF945",976,2.96
"2E6EFA",492,2.87
"5A218F",559,6.72
"7A8CDE",785,5.19
"56CAD5",28,7.08
"7A23D8",526,9.57
"93D145",62,9.06
"441A20",789,2.17
"9B7331",926,8.38
"505038",505,1.73
"961BE2",236,6.92
"3F62D5",872,1.67
"243094",298,7.96
"886F1B",568,4.90
"3645EB",488,5.87
"85026B",395,5.66
"2105FD",482,6.90
"88B0F1",262,8.30
"2D0CED",470,1.00
"7547AF",854,9.17
"355E5B",432,9.94
"26E27D",668,7.13
"237BCD",847,4.95
"64416D",311,4.74
"3A2AA4",954,8.21
"2B3FC2",602,5.14
"951B6C",506,1.76
"9F29E1",67,0.95
"93F2BA",522,9.04
"15D720",485,4.49
"11EA2F",204,1.02
"764D91",928,9.85
"787A43",918,3.12
"4370B6",492,3.92
"2F7F06",93,8.33
"45DB7D",874,6.57
"272B59",732,8.16
"3755FE",623,9.81
"53061D",174,6.24
"29FC64",197,2.44
"64FE56",826,8.89
"9F44D5",229,1.89
"5C3954",109,9.52
"55EB3B",772,4.33
"4CF854",936,8.54
"7FCFFD",157,8.99
"1588A0",704,6.14
"97EF2A",8,0.54
"156B2A",667,5.34
"7E2E93",543,0.83
"5985BB",559,7.15
"21D8E2",169,3.95
"988FDC",446,8.41
"974335",240,4.04
"5E796D",72,7.35
"6C9E2E",326,6.28
"2CA56C",371,3.13
"367399",866,4.72
"64589C",266,9.68
"27B1F6",207,0.39
"591268",474,0.48
"9D20D8",69,5.60
"95681F",692,8.20
"76E136",583,0.83
"5BC161",452,1.79
"65ED6F",195,9.12
"4FE465",595,7.25
"6C89D4",158,8.35
"6BD028",760,1.55
"94337B",365,6.17
"84F55C",142,4.24
"4F355B",186,0.66
"7F91CC",120,9.69
"A32DFB",308,8.91
"83BF24",812,7.69
"3C8A69",618,9.01
"450CF3",582,9.84
"6F790D",326,1.25
"2067E3",635,3.91
"A16CE7",562,0.91
"79FABE",447,2.20
"A03C7C",764,4.48
"2FDED1",589,0.77
"3866AC",920,8.16
"936F8E",441,1.15
"70FF93",111,7.49
"9BEA5A",564,2.05
"39718C",290,3.05
"587564",401,6.87
"119527",824,3.66
"4D82AD",506,9.87
"201D61",522,8.06
"28C0C1",304,2.11
"174B87",940,1.34
"2C32ED",759,3.09
"48F680",15,9.63
"A748AB",823,4.96
"7F39FC",267,5.28
"7AD073",637,9.66
"2D8CF0",410,1.40
"621A5E",984,6.43
"909771",891,1.47
"5AB707",157,1.83
"1C16F1",356,2.12
"793DB7",803,3.80
"73F1B9",234,2.53
"4EC8EF",402,2.98
"2F2695",331,7.00
"9AF014",813,9.54
"2B4025",764,9.08
"63DED3",51,7.39
"76DF81",306,8.08
"1A266E",721,5.70
"8407F0",448,8.46
"18F7CD",988,9.95
"2DABCF",239,8.50
"811BE3",836,3.04
"A09DF0",840,5.05
"973C5F",310,9.83
"5380AC",352,7.74
"4816E4",624,0.38
"1FFDCB",778,8.42
"46FFDD",578,9.49
"502C1D",358,4.14
"9A1C6B",179,1.64
"139322",63,8.01
"77668C",907,3.04
"755889",960,9.22
"2B5F63",716,5.24
"546E05",621,7.08
"33CAAC",548,0.94
"8DB3D1",149,0.56
"5D1EA8",185,9.47
"51EB44",84,4.31
"A33D11",495,8.80
"287192",591,1.89
"4AB18B",835,1.73
"5CFD4D",29,9.13
"89AAF1",729,4.70
"616B26",123,1.39
"89AF50",808,8.01
"30F868",676,4.06
"275206",419,5.44
"9FE6EA",701,10.03
"43CBA4",1,9.42
"A0F234",152,0.53
"4EBE3C",490,4.24
"1CB5D8",864,6.29
"479558",215,2.19
"70842F",7,8.40
"5A0B64",851,2.04
"7ABBCF",262,9.65
"4621E1",257,5.59
"3571FA",232,3.90
"448ED8",465,6.39
"66C114",134,2.15
"8436C8",339,1.69
"302812",258,8.84
"4C8AAF",343,0.44
"72351F",447,4.45
"6E0813",480,6.06
"4BDABC",699,7.02
"F8697",47,8.25
"46029D",451,5.55
"5F5817",358,2.23
"78204F",784,4.16
"23F467",660,0.70
"64A35F",517,7.40
"38878C",730,2.47
"7A5A3A",463,8.23
"444C10",814,3.52
"7B6C8B",378,3.93
"5C1AAF",74,6.02
"7B5E00",707,0.87
"786F4B",796,1.11
